Project,ReflectiveTarget,Type
boot-dubbo,org.springframework.data.repository.core.support.TransactionalRepositoryFactoryBeanSupport,Type 1
boot-dubbo,org.springframework.data.repository.core.support.RepositoryInterfaceAwareBeanPostProcessor,Type 1
boot-dubbo,org.springframework.data.repository.core.support.RepositoryFactoryInformation,Type 1
boot-dubbo,org.springframework.data.repository.core.support.RepositoryFactoryBeanSupport,Type 1
boot-dubbo,org.springframework.data.repository.core.support.PropertiesBasedNamedQueries,Type 1
boot-dubbo,org.springframework.data.repository.core.EntityInformation,Type 1
boot-dubbo,org.springframework.data.mapping.PersistentEntity,Type 1
boot-dubbo,org.springframework.data.mapping.context.MappingContext,Type 1
boot-dubbo,org.springframework.data.jpa.repository.support.EntityManagerBeanDefinitionRegistrarPostProcessor,Type 1
boot-dubbo,org.springframework.data.jpa.repository.support.CrudMethodMetadata,Type 1
boot-dubbo,org.springframework.data.jpa.repository.query.JpaEntityGraph,Type 1
boot-dubbo,org.springframework.data.jpa.repository.config.JpaRepositoryConfigExtension,Type 1
boot-dubbo,org.springframework.data.jpa.repository.config.JpaMetamodelMappingContextFactoryBean,Type 1
boot-dubbo,org.springframework.data.jpa.repository.config.EnableJpaRepositories,Type 1
boot-dubbo,org.springframework.data.jpa.mapping.JpaMetamodelMappingContext,Type 1
boot-dubbo,org.springframework.data.domain.Sort,Type 1
boot-dubbo,org.springframework.data.domain.Pageable,Type 1
boot-dubbo,org.springframework.data.domain.Page,Type 1
boot-dubbo,org.springframework.dao.support.PersistenceExceptionTranslator,Type 1
boot-dubbo,org.springframework.core.io.support.PropertiesLoaderSupport,Type 1
boot-dubbo,org.springframework.core.$Proxy50,Type 1
boot-dubbo,org.springframework.core.$Proxy30,Type 1
boot-dubbo,org.springframework.core.$Proxy16,Type 1
boot-dubbo,org.springframework.cglib.reflect.FastClass,Type 1
boot-dubbo,org.springframework.cglib.proxy.ProxyRefDispatcher,Type 1
boot-dubbo,org.springframework.cglib.proxy.NoOp,Type 1
